2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20117","message":"请输入范围在0-50万之间的正数金额"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20115","message":"请输入金额"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20118","message":"请输入数字"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/recharge】
2020-03-06 11:06:58 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20116","message":"输入金额的小数部分不能超过两位"}】
2020-03-06 11:06:58 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
